site_name,4TH DISTRICT COURT,CAMP LOGAN TRAILER,CARY GROVE HS,CHIWAUKEE PRAIRIE STATELINE,CITY HALL,COM ED MAINTENANCE BLDG,COM ED TRAINING CENTER,EISENHOWER HS,East Chicago- Franklin School/ Washington School (Ben. Franklin),GRAVES ES,Gary- Burr St./ pumping station near truck stop,Gary- Madison St./ Gary Water/ IN American Water Co.,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,Hammond- Clark HS/ Robertsdale Clark HS,Hammond- Purdue/ Powers Bldg. Purdue University,IEPA TRAILER,KANE COUNTY HEALTH DEPT,LIBERTY SCHOOL,MAYFAIR PUMP STATION,MCKINLEY SCHOOL,NORTHBROOK WATER PLANT,Ogden Dunes- Water Treatment Plant,PERSHING SCHOOL,READY ELDON ELEMENTARY ON THE ROOF,REGIONAL OFFICE BUILDING,SE POLICE STATION,SPRINGFIELD PUMP STATION,VILLAGE GARAGE,VILLAGE HALL,WASHINGTON HS
Gary- Burr St./ pumping station near truck stop,0.8552627014813525,0.7968683094029106,0.8195567726758118,0.8241696535291086,0.9000722337421353,0.9275511589597837,0.8806605096539961,0.9371559373423264,0.9428660473339997,0.906530465195805,1.0,0.9324181643657614,0.7510359509647898,0.9498925760594746,0.9659082874147649,0.7831380139447289,0.864498308301387,0.8735502682272119,0.8837302044072839,0.8446230730173363,0.8762607126242198,0.9135907627288715,0.806340580634844,0.9752328990633721,0.8699607063845757,0.9423954090724708,0.8945274651827374,0.9012418988250802,0.853858504405063,0.8986480020665367
Gary- Madison St./ Gary Water/ IN American Water Co.,0.7956168672638348,0.7994543676518854,0.761082767278461,0.771207611117785,0.8741440325426961,0.8871571100861405,0.8686079979623393,0.8565837927853845,0.9130491369096834,0.8544689563534557,0.9324181643657614,1.0,0.721633525762356,0.9090119021026409,0.9332959169424798,0.7226982930136809,0.8569819603574454,0.827759874040485,0.8471863928279706,0.8231822994032529,0.8494645860322732,0.882326370962747,0.8005913168408718,0.945159470998036,0.8326154216237296,0.8845732149566885,0.8639107317423034,0.8675484626326485,0.8232553842606334,0.8505419070276092
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,0.6616026257769138,0.7312738738788237,0.6165413006979314,0.567858728073772,0.6121521532001399,0.669621999497729,0.7326784265817897,0.6892612848039459,0.7997732465565885,0.6737106498558091,0.7510359509647898,0.721633525762356,1.0,0.8143117614669624,0.757688997086183,0.5957748644588001,0.736032816365591,0.55491244294171,0.6353116524706994,0.7057533021760929,0.6427409795772301,0.7542655473368618,0.6825539331176567,0.7419965132073348,0.6774937965159245,0.7386536740708743,0.6407551889298427,0.6910435143481803,0.6184594768545689,0.6864560035471327
Hammond- Clark HS/ Robertsdale Clark HS,0.8821424773316302,0.8178068142884135,0.8348864333699094,0.843023415921996,0.8958328460252573,0.9536402382197234,0.9303764814665524,0.948822431808848,0.9765844254375032,0.9144962630034844,0.9498925760594746,0.9090119021026409,0.8143117614669624,1.0,0.9684715214762326,0.8255722516283269,0.9073980280412687,0.8728693507471225,0.9146210333616827,0.8711751142313514,0.9054603991825937,0.9273697846068291,0.8426259932354436,0.9394196599427286,0.8983406186584341,0.95743113269032,0.9260945276162077,0.9135765420104193,0.8690324994927212,0.9520850356358949
Hammond- Purdue/ Powers Bldg. Purdue University,0.8575314106108576,0.8141320296603854,0.8087728349313137,0.7387376202725786,0.8503593207319491,0.903699419313267,0.9101372388597836,0.9381083037064027,0.9659799876425778,0.910884801843459,0.9659082874147649,0.9332959169424798,0.757688997086183,0.9684715214762326,1.0,0.7855926782271152,0.8888694174967956,0.8176456387174349,0.8709626075986995,0.8623185588136212,0.866993979747547,0.8920209450869437,0.8131522810207253,0.969628077539861,0.8801567962109179,0.9448956540500424,0.8802651753933192,0.9040172119202041,0.8679133389766609,0.8738201376504645
IEPA TRAILER,0.7969736677574951,0.6324721325063616,0.7836996945724075,0.7014671154383619,0.8424844122472288,0.8295103311376812,0.8460481784701731,0.8322956872618781,0.7759648996647251,0.8570705805185366,0.7831380139447289,0.7226982930136809,0.5957748644588001,0.8255722516283269,0.7855926782271152,1.0,0.8774748276174581,0.8869097609830956,0.8508850512726341,0.838307328189978,0.8110391414331408,0.7019287543005586,0.817120352550211,0.798747057132296,0.8402826524156234,0.8570998025872775,0.8528158523369558,0.7653523380252796,0.895823677790033,0.810521827279899
KANE COUNTY HEALTH DEPT,0.8657888763346983,0.7851809728837146,0.8774675962246037,0.7841252719686285,0.9456457886676671,0.9403967507675782,0.9137645925054205,0.8877064027987502,0.8987150151214973,0.9268453967925,0.864498308301387,0.8569819603574454,0.736032816365591,0.9073980280412687,0.8888694174967956,0.8774748276174581,1.0,0.9174082357318915,0.904374302148093,0.9461928183882352,0.8843618598067797,0.8634304474289148,0.8560381271509531,0.9078194831635059,0.9038890926067285,0.8974016853898158,0.9129159868299803,0.9115518816736324,0.9119436388722679,0.8852052029399715
LIBERTY SCHOOL,0.9131647184686406,0.8646638630874987,0.8634731570224498,0.8767607684171072,0.887147720856761,0.9131869352298584,0.8274446087230076,0.8840742049913716,0.8699566528791794,0.946225813321569,0.8735502682272119,0.827759874040485,0.55491244294171,0.8728693507471225,0.8176456387174349,0.8869097609830956,0.9174082357318915,1.0,0.9598662336974912,0.9291877399420648,0.9119267577724157,0.7089213175613756,0.7869434922604488,0.8646518795684703,0.9284516751383255,0.9157034156794286,0.9648865382987504,0.8446469116136045,0.9056932501202334,0.8564231905319403
MAYFAIR PUMP STATION,0.9272781531195503,0.8587774614445363,0.8992405973768262,0.8613533650477367,0.9112795138926888,0.9200665192980043,0.8248455197410486,0.8866962369018064,0.9052994468014136,0.9414679453271078,0.8837302044072839,0.8471863928279706,0.6353116524706994,0.9146210333616827,0.8709626075986995,0.8508850512726341,0.904374302148093,0.9598662336974912,1.0,0.9309644286390799,0.9405476303032806,0.8005096935095585,0.8169228635304415,0.8692984786153397,0.9456386811965043,0.9259023709637438,0.9694046222379631,0.8944670108709959,0.9416911702071036,0.8748907552173028
MCKINLEY SCHOOL,0.8907069518950991,0.85315964353809,0.9145449696364599,0.8400357232747887,0.9297993774140826,0.9186968053904833,0.8652224058365067,0.8373457124621316,0.8550165947119214,0.9276849532934045,0.8446230730173363,0.8231822994032529,0.7057533021760929,0.8711751142313514,0.8623185588136212,0.838307328189978,0.9461928183882352,0.9291877399420648,0.9309644286390799,1.0,0.9200459569153302,0.8351162998580806,0.8214774128171968,0.8567763338796187,0.9365600425111452,0.8742510742627183,0.9364276791352915,0.8715301838029188,0.9358682379020182,0.8503531026857107
NORTHBROOK WATER PLANT,0.9045366315032581,0.9366364631405303,0.929776149019364,0.9006194093898926,0.8777603144603938,0.8970327873863333,0.8112211226085776,0.8626588323196756,0.8954114153138916,0.9131979568207006,0.8762607126242198,0.8494645860322732,0.6427409795772301,0.9054603991825937,0.866993979747547,0.8110391414331408,0.8843618598067797,0.9119267577724157,0.9405476303032806,0.9200459569153302,1.0,0.8481931512861107,0.737052009713055,0.8557746210633561,0.9454989036712625,0.9162091548281275,0.9312868104938077,0.8807354300392052,0.9124283143306776,0.8575643746739819
Ogden Dunes- Water Treatment Plant,0.8385469317536979,0.8456204231089063,0.7782395606936958,0.7533108303746239,0.7831796952279017,0.8226365606198648,0.8442838994700989,0.865457549014329,0.9115195454297896,0.8530950076927021,0.9135907627288715,0.882326370962747,0.7542655473368618,0.9273697846068291,0.8920209450869437,0.7019287543005586,0.8634304474289148,0.7089213175613756,0.8005096935095585,0.8351162998580806,0.8481931512861107,1.0,0.7262049163321925,0.891304833465979,0.823354900120905,0.8931548968530043,0.8178496959564863,0.8664691314775904,0.800656508384698,0.8812450467881409
PERSHING SCHOOL,0.6752737825234716,0.6575178215227547,0.6983425165172966,0.6514214568039935,0.8429432510255075,0.8038889135540004,0.8967848623365134,0.8376310632844891,0.8264534309206164,0.808456560202488,0.806340580634844,0.8005913168408718,0.6825539331176567,0.8426259932354436,0.8131522810207253,0.817120352550211,0.8560381271509531,0.7869434922604488,0.8169228635304415,0.8214774128171968,0.737052009713055,0.7262049163321925,1.0,0.8485465594698177,0.791851806721593,0.8097642145246503,0.7900684614393477,0.7635315491980149,0.7768632140684667,0.7655152851759497
READY ELDON ELEMENTARY ON THE ROOF,0.8264624123514317,0.7658692773777419,0.7968496265600521,0.7792332952188953,0.9019924881996978,0.9246468539282293,0.9174704300106226,0.9206066763834525,0.9436829901620329,0.9022170795678279,0.9752328990633721,0.945159470998036,0.7419965132073348,0.9394196599427286,0.969628077539861,0.798747057132296,0.9078194831635059,0.8646518795684703,0.8692984786153397,0.8567763338796187,0.8557746210633561,0.891304833465979,0.8485465594698177,1.0,0.8609775973273426,0.9335910244970149,0.884794932526004,0.8979722206033082,0.8438416190197381,0.8864966358391406
REGIONAL OFFICE BUILDING,0.8880338376246917,0.8555217197157768,0.9122925259482686,0.8511450057580857,0.8862590691280192,0.9269026308886137,0.8476821795209657,0.863324649283299,0.8893877228293512,0.926246418624629,0.8699607063845757,0.8326154216237296,0.6774937965159245,0.8983406186584341,0.8801567962109179,0.8402826524156234,0.9038890926067285,0.9284516751383255,0.9456386811965043,0.9365600425111452,0.9454989036712625,0.823354900120905,0.791851806721593,0.8609775973273426,1.0,0.9075568426718705,0.9395262814038733,0.8624878238431702,0.9027271762366504,0.8611909293066692
SE POLICE STATION,0.8928319026532572,0.8152620965120007,0.8356830648766895,0.8282070066880945,0.9009436391357248,0.9447484400271637,0.8912528974046392,0.9432027810811178,0.9463582964144716,0.9273150139106703,0.9423954090724708,0.8845732149566885,0.7386536740708743,0.95743113269032,0.9448956540500424,0.8570998025872775,0.8974016853898158,0.9157034156794286,0.9259023709637438,0.8742510742627183,0.9162091548281275,0.8931548968530043,0.8097642145246503,0.9335910244970149,0.9075568426718705,1.0,0.9255224205380369,0.9040635914377656,0.8896871175520267,0.9410628799288999
SPRINGFIELD PUMP STATION,0.9260756516097394,0.8808952046728482,0.8946841384481846,0.8834602382448715,0.9161378138776012,0.9295318364009093,0.8265418811349576,0.8832868820579786,0.9117893725874773,0.9394015202540044,0.8945274651827374,0.8639107317423034,0.6407551889298427,0.9260945276162077,0.8802651753933192,0.8528158523369558,0.9129159868299803,0.9648865382987504,0.9694046222379631,0.9364276791352915,0.9312868104938077,0.8178496959564863,0.7900684614393477,0.884794932526004,0.9395262814038733,0.9255224205380369,1.0,0.8972407137684825,0.9370874725699884,0.9033315822044673
VILLAGE GARAGE,0.9104801599845813,0.7933654731678302,0.8459999386615455,0.7561379639235655,0.8679243067598394,0.910307359156741,0.8849628894642848,0.9325736781580296,0.8913394621216724,0.9187229156147008,0.9012418988250802,0.8675484626326485,0.6910435143481803,0.9135765420104193,0.9040172119202041,0.7653523380252796,0.9115518816736324,0.8446469116136045,0.8944670108709959,0.8715301838029188,0.8807354300392052,0.8664691314775904,0.7635315491980149,0.8979722206033082,0.8624878238431702,0.9040635914377656,0.8972407137684825,1.0,0.8984789690669276,0.8930249903462062
VILLAGE HALL,0.921132889456699,0.8460520902960301,0.902853452674681,0.8137347711997229,0.9049985868899079,0.9010206513002975,0.8446036102616309,0.8859254090368924,0.8456213516432389,0.9289285591274851,0.853858504405063,0.8232553842606334,0.6184594768545689,0.8690324994927212,0.8679133389766609,0.895823677790033,0.9119436388722679,0.9056932501202334,0.9416911702071036,0.9358682379020182,0.9124283143306776,0.800656508384698,0.7768632140684667,0.8438416190197381,0.9027271762366504,0.8896871175520267,0.9370874725699884,0.8984789690669276,1.0,0.857782745098402
WASHINGTON HS,0.8687638882995785,0.802901865992165,0.8170020464840543,0.7939673668834433,0.8664352553859774,0.8852885975111713,0.8790411733725365,0.9143966144913888,0.9309510846972167,0.8960014373912233,0.8986480020665367,0.8505419070276092,0.6864560035471327,0.9520850356358949,0.8738201376504645,0.810521827279899,0.8852052029399715,0.8564231905319403,0.8748907552173028,0.8503531026857107,0.8575643746739819,0.8812450467881409,0.7655152851759497,0.8864966358391406,0.8611909293066692,0.9410628799288999,0.9033315822044673,0.8930249903462062,0.857782745098402,1.0
