STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100308,0.93,0.0,8.91,0.0,76.4,18.8,85.8,67.0,2.5
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100309,1.03,0.0,9.01,0.0,76.4,18.8,85.8,67.0,2.5
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100310,1.14,0.0,9.12,0.0,76.4,18.9,85.9,67.0,2.5
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100311,1.24,0.0,9.22,0.0,76.5,18.9,85.9,67.0,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100312,1.34,0.0,9.32,0.0,76.5,18.9,86.0,67.1,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100313,1.45,0.0,9.43,0.0,76.6,18.9,86.0,67.1,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100314,1.55,0.0,9.53,0.0,76.6,18.9,86.1,67.1,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100315,1.65,0.0,9.63,0.0,76.6,19.0,86.1,67.1,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100316,1.77,0.0,9.75,0.0,76.7,19.0,86.2,67.2,2.4
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100317,1.87,0.0,9.85,0.0,76.7,19.0,86.2,67.2,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100318,1.98,0.0,9.96,0.0,76.7,19.0,86.2,67.2,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100319,2.09,0.0,10.07,0.0,76.8,19.0,86.3,67.3,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100320,2.19,0.0,10.17,0.0,76.8,19.0,86.3,67.3,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100321,2.30,0.0,10.28,0.0,76.8,19.0,86.4,67.3,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100322,2.42,0.0,10.40,0.0,76.9,19.0,86.4,67.4,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100323,2.54,0.0,10.52,0.0,76.9,19.0,86.4,67.4,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100324,2.66,0.0,10.64,0.0,76.9,19.0,86.5,67.4,2.2
